time,travel time,sample count
2019-03-07 10:00:00,2.43,30
2019-02-19 11:00:00,2.46,58
2019-02-10 19:00:00,2.37,59
2019-03-06 23:00:00,2.23,25
2019-02-28 19:00:00,2.27,31
2019-02-14 22:00:00,2.29,52
2019-03-03 22:00:00,1.66,8
2019-03-01 11:00:00,2.23,60
2019-03-08 07:00:00,2.32,26
2019-02-18 04:00:00,2.2,55
2019-02-24 03:00:00,1.71,60
2019-03-01 23:00:00,1.68,21
2019-02-22 10:00:00,1.79,30
2019-03-06 18:00:00,3.58,20
2019-03-01 01:00:00,1.68,60
2019-03-06 19:00:00,2.53,27
2019-03-02 18:00:00,2.03,15
2019-02-12 09:00:00,2.48,56
2019-03-01 08:00:00,1.78,62
2019-02-22 14:00:00,2.64,30
2019-02-14 18:00:00,3.93,51
2019-02-26 23:00:00,1.88,36
2019-02-17 03:00:00,2.22,52
2019-03-02 00:00:00,1.67,47
2019-02-22 23:00:00,1.68,60
2019-02-16 11:00:00,2.77,53
2019-02-25 12:00:00,1.74,60
2019-02-23 23:00:00,1.68,30
2019-02-20 00:00:00,2.27,27
2019-02-14 11:00:00,3.37,52
2019-02-23 21:00:00,1.75,30
2019-03-03 18:00:00,1.83,31
2019-03-04 04:00:00,1.64,60
2019-02-16 02:00:00,2.3,28
2019-02-23 06:00:00,1.6,60
2019-02-21 22:00:00,1.63,27
2019-02-23 12:00:00,2.53,34
2019-02-10 18:00:00,2.42,60
2019-02-19 02:00:00,2.24,56
2019-02-26 11:00:00,1.92,31
2019-02-14 12:00:00,3.27,54
2019-02-23 04:00:00,1.64,60
2019-02-10 20:00:00,2.33,62
2019-03-01 13:00:00,2.56,60
2019-02-12 00:00:00,2.31,58
2019-02-20 23:00:00,1.64,26
2019-02-24 00:00:00,1.67,3
2019-02-28 17:00:00,4.14,34
2019-02-14 23:00:00,2.29,56
2019-02-23 03:00:00,1.66,60
2019-02-25 08:00:00,1.74,60
2019-02-19 04:00:00,2.13,55
2019-02-21 12:00:00,2.31,30
2019-02-20 13:00:00,2.18,27
2019-03-09 06:00:00,2.17,25
2019-02-25 21:00:00,1.71,60
2019-02-28 13:00:00,2.02,59
2019-02-10 01:00:00,2.35,60
2019-03-06 15:00:00,3.43,29
2019-03-02 02:00:00,1.65,60
2019-02-12 14:00:00,6.76,31
2019-02-26 12:00:00,1.83,34
2019-02-13 13:00:00,2.44,54
2019-03-05 08:00:00,1.74,44
2019-03-02 07:00:00,1.61,60
2019-03-01 14:00:00,2.85,59
2019-02-23 07:00:00,1.59,60
2019-02-16 06:00:00,2.2,36
2019-02-27 23:00:00,1.64,60
2019-02-24 23:00:00,1.65,31
2019-02-24 15:00:00,1.76,60
2019-02-28 20:00:00,1.75,33
2019-02-27 08:00:00,1.86,60
2019-02-13 20:00:00,2.32,31
2019-02-17 12:00:00,2.46,53
2019-03-02 19:00:00,1.8,26
2019-02-13 11:00:00,2.44,54
2019-02-28 04:00:00,1.62,62
2019-02-15 19:00:00,2.62,35
2019-02-13 21:00:00,2.28,33
2019-03-04 16:00:00,3.13,26
2019-02-22 02:00:00,1.65,30
2019-02-25 16:00:00,2.56,60
2019-02-28 02:00:00,1.67,60
2019-02-15 05:00:00,2.19,52
2019-02-22 17:00:00,3.72,60
2019-02-21 16:00:00,3.72,20
2019-02-27 07:00:00,1.9,60
2019-02-24 18:00:00,1.73,60
2019-02-18 22:00:00,2.24,27
2019-02-12 08:00:00,2.46,44
2019-02-22 18:00:00,2.61,60
2019-02-27 09:00:00,1.82,62
2019-03-03 04:00:00,1.66,60
2019-03-08 09:00:00,2.53,8
2019-02-15 06:00:00,2.28,52
2019-02-10 11:00:00,2.26,61
2019-02-17 11:00:00,2.31,55
2019-02-25 11:00:00,1.75,60
2019-02-12 11:00:00,2.52,40
2019-02-24 16:00:00,1.76,60
2019-03-04 17:00:00,2.69,26
2019-02-14 01:00:00,2.28,51
2019-02-21 21:00:00,1.69,22
2019-03-03 05:00:00,1.64,60
2019-03-01 02:00:00,1.68,62
2019-03-01 16:00:00,3.54,51
2019-02-10 15:00:00,2.29,60
2019-02-28 08:00:00,1.75,58
2019-03-09 19:00:00,2.89,3
2019-02-11 11:00:00,2.46,61
2019-03-01 22:00:00,1.71,18
2019-02-27 05:00:00,1.92,60
2019-02-27 03:00:00,1.79,59
2019-03-06 07:00:00,1.71,60
2019-02-14 06:00:00,2.37,53
2019-02-12 06:00:00,2.38,61
2019-02-22 13:00:00,2.31,30
2019-02-28 18:00:00,2.58,35
2019-02-21 15:00:00,3.6,26
2019-03-02 03:00:00,1.66,60
2019-02-14 20:00:00,2.38,56
2019-02-11 06:00:00,2.36,61
2019-02-11 23:00:00,2.31,60
2019-02-19 08:00:00,2.33,56
2019-02-25 05:00:00,1.71,60
2019-02-20 16:00:00,3.01,27
2019-03-07 00:00:00,2.24,31
2019-03-03 03:00:00,1.69,60
2019-02-24 08:00:00,1.64,60
2019-02-11 00:00:00,2.32,60
2019-03-05 21:00:00,1.69,30
2019-02-19 14:00:00,2.82,54
2019-02-21 02:00:00,1.63,29
2019-02-11 22:00:00,2.33,60
2019-03-09 05:00:00,2.19,28
2019-03-02 21:00:00,1.75,30
2019-03-02 12:00:00,2.45,40
2019-02-26 14:00:00,2.38,47
2019-03-08 00:00:00,2.23,23
2019-03-07 13:00:00,2.39,30
2019-03-04 11:00:00,2.13,60
2019-02-10 21:00:00,2.33,59
2019-02-23 15:00:00,2.43,30
2019-03-04 13:00:00,2.14,48
2019-02-12 02:00:00,2.28,59
2019-02-26 20:00:00,1.75,53
2019-02-28 22:00:00,1.69,17
2019-03-03 23:00:00,1.66,28
2019-02-12 16:00:00,5.17,31
2019-02-25 03:00:00,1.42,29
2019-03-03 13:00:00,2.3,55
2019-03-07 08:00:00,2.36,30
2019-02-13 16:00:00,3.16,56
2019-02-15 20:00:00,2.38,45
2019-02-24 01:00:00,1.72,60
2019-02-28 06:00:00,1.66,60
2019-02-11 14:00:00,2.89,59
2019-02-15 23:00:00,2.29,24
2019-02-27 19:00:00,1.73,60
2019-02-19 12:00:00,2.46,52
2019-02-10 03:00:00,2.22,59
2019-02-17 09:00:00,2.22,51
2019-02-12 15:00:00,6.58,31
2019-02-26 00:00:00,1.68,60
2019-02-11 03:00:00,2.18,60
2019-03-06 10:00:00,1.86,60
2019-03-04 03:00:00,1.66,60
2019-02-15 00:00:00,2.25,56
2019-03-06 13:00:00,2.53,37
2019-02-26 16:00:00,3.59,59
2019-02-16 03:00:00,2.24,25
2019-03-04 19:00:00,1.95,17
2019-02-25 09:00:00,1.75,60
2019-03-01 04:00:00,1.64,60
2019-02-22 09:00:00,1.81,30
2019-02-16 09:00:00,2.29,52
2019-02-25 07:00:00,1.75,60
2019-02-18 14:00:00,3.49,52
2019-02-28 14:00:00,2.68,56
2019-03-05 07:00:00,1.64,19
2019-03-03 02:00:00,1.67,60
2019-02-20 18:00:00,2.84,26
2019-02-20 02:00:00,2.25,29
2019-02-13 08:00:00,2.4,56
2019-02-28 10:00:00,1.85,60
2019-02-13 04:00:00,2.18,54
2019-02-21 17:00:00,3.61,15
2019-02-15 09:00:00,2.38,56
2019-03-05 12:00:00,2.09,57
2019-03-01 07:00:00,1.85,60
2019-03-02 06:00:00,1.61,60
2019-03-07 16:00:00,3.44,3
2019-02-27 00:00:00,2.35,60
2019-02-15 04:00:00,2.19,40
2019-03-05 10:00:00,1.85,36
2019-02-12 19:00:00,2.75,35
2019-02-17 17:00:00,2.44,31
2019-02-17 20:00:00,2.28,28
2019-03-03 09:00:00,1.69,60
2019-02-23 17:00:00,2.51,30
2019-02-15 03:00:00,2.23,30
2019-03-04 22:00:00,1.65,24
2019-03-07 05:00:00,2.17,30
2019-02-12 01:00:00,2.33,60
2019-02-11 18:00:00,3.46,61
2019-02-24 17:00:00,1.74,60
2019-02-21 04:00:00,1.63,29
2019-03-07 06:00:00,2.24,30
2019-02-20 14:00:00,2.59,27
2019-03-02 11:00:00,1.98,52
2019-03-08 06:00:00,2.22,30
2019-02-24 13:00:00,1.75,60
2019-03-05 03:00:00,1.68,59
2019-02-14 17:00:00,5.1,53
2019-03-01 17:00:00,3.73,40
2019-02-11 12:00:00,2.57,60
2019-02-15 22:00:00,3.4,27
2019-02-25 02:00:00,1.55,29
2019-02-27 12:00:00,1.85,59
2019-02-24 20:00:00,1.68,59
2019-02-17 13:00:00,2.38,50
2019-02-16 00:00:00,2.26,29
2019-02-11 17:00:00,4.69,55
2019-03-05 09:00:00,1.78,58
2019-02-26 22:00:00,1.68,39
2019-02-14 09:00:00,2.48,52
2019-02-11 02:00:00,2.12,59
2019-02-27 10:00:00,1.8,58
2019-02-21 06:00:00,1.66,26
2019-02-19 15:00:00,4.33,54
2019-03-03 12:00:00,2.16,60
2019-02-13 22:00:00,2.27,37
2019-02-14 14:00:00,6.71,46
2019-02-20 11:00:00,1.77,38
2019-02-16 08:00:00,2.22,50
2019-02-24 21:00:00,1.66,49
2019-02-14 00:00:00,2.23,52
2019-03-07 03:00:00,2.26,30
2019-02-21 05:00:00,1.61,26
2019-02-22 15:00:00,3.35,30
2019-02-16 21:00:00,2.35,52
2019-02-23 20:00:00,1.8,30
2019-02-11 20:00:00,2.37,61
2019-03-04 12:00:00,2.31,53
2019-03-06 09:00:00,1.76,52
2019-02-11 07:00:00,2.44,60
2019-03-02 04:00:00,1.66,60
2019-03-05 17:00:00,3.26,32
2019-03-09 03:00:00,2.28,30
2019-02-10 08:00:00,2.23,61
2019-02-21 20:00:00,1.77,12
2019-03-04 05:00:00,1.61,60
2019-02-19 03:00:00,2.0,57
2019-02-14 03:00:00,2.24,51
2019-02-15 15:00:00,6.72,52
2019-02-24 11:00:00,1.7,60
2019-02-19 23:00:00,2.29,27
2019-02-16 16:00:00,3.28,52
2019-02-28 09:00:00,1.78,60
2019-02-13 09:00:00,2.4,50
2019-02-24 19:00:00,1.69,60
2019-03-07 11:00:00,2.17,30
2019-03-05 06:00:00,1.65,57
2019-02-15 16:00:00,4.79,55
2019-02-18 05:00:00,2.17,58
2019-02-23 11:00:00,1.79,49
2019-03-07 07:00:00,2.35,30
2019-02-12 04:00:00,2.2,58
2019-02-28 12:00:00,2.17,58
2019-03-08 05:00:00,2.17,30
2019-03-03 11:00:00,1.77,52
2019-02-26 15:00:00,3.05,57
2019-02-18 01:00:00,2.25,53
2019-03-06 22:00:00,2.26,6
2019-02-19 20:00:00,2.48,58
2019-02-23 18:00:00,2.22,30
2019-03-02 01:00:00,1.66,60
2019-03-08 04:00:00,2.2,30
2019-02-12 07:00:00,2.47,59
2019-02-27 21:00:00,1.68,60
2019-02-18 20:00:00,2.35,31
2019-02-17 21:00:00,2.26,24
2019-03-02 09:00:00,1.7,60
2019-02-19 22:00:00,2.25,34
2019-02-11 16:00:00,4.47,46
2019-02-27 06:00:00,1.93,60
2019-02-17 08:00:00,2.17,52
2019-02-11 19:00:00,2.5,60
2019-02-15 11:00:00,3.33,52
2019-02-21 08:00:00,1.75,28
2019-02-18 12:00:00,2.92,58
2019-02-13 18:00:00,2.9,27
2019-02-10 16:00:00,2.31,61
2019-03-07 04:00:00,2.19,30
2019-02-22 21:00:00,1.76,60
2019-02-21 10:00:00,1.9,27
2019-02-10 13:00:00,2.27,60
2019-02-18 13:00:00,2.91,54
2019-03-05 19:00:00,1.95,34
2019-02-15 02:00:00,2.26,55
2019-02-27 20:00:00,1.69,60
2019-02-25 01:00:00,1.66,30
2019-02-26 10:00:00,2.02,30
2019-03-07 02:00:00,2.24,30
2019-02-16 12:00:00,2.99,56
2019-02-13 19:00:00,2.54,28
2019-02-14 05:00:00,2.26,52
2019-03-04 02:00:00,1.67,60
2019-02-27 16:00:00,2.08,60
2019-02-19 05:00:00,2.17,54
2019-03-02 08:00:00,1.66,60
2019-03-01 03:00:00,1.66,58
2019-02-26 03:00:00,1.7,39
2019-02-14 21:00:00,2.36,54
2019-03-03 16:00:00,2.35,31
2019-02-23 08:00:00,1.63,60
2019-02-14 15:00:00,8.97,54
2019-02-10 02:00:00,2.34,60
2019-02-16 04:00:00,2.23,28
2019-02-22 22:00:00,1.71,60
2019-02-23 14:00:00,2.59,30
2019-02-22 11:00:00,2.07,30
2019-03-01 06:00:00,1.68,60
2019-02-23 01:00:00,1.66,60
2019-03-06 03:00:00,1.63,60
2019-02-15 18:00:00,3.42,48
2019-03-05 22:00:00,1.67,30
2019-02-27 18:00:00,1.8,60
2019-02-24 14:00:00,1.79,60
2019-03-05 01:00:00,1.65,60
2019-02-18 11:00:00,2.58,52
2019-03-05 14:00:00,2.43,60
2019-02-20 03:00:00,2.17,29
2019-02-14 16:00:00,6.37,52
2019-02-25 17:00:00,2.74,60
2019-03-03 07:00:00,1.61,60
2019-02-19 00:00:00,2.21,49
2019-03-06 05:00:00,1.6,60
2019-03-05 16:00:00,3.39,40
2019-02-26 04:00:00,1.66,31
2019-02-16 13:00:00,3.26,53
2019-02-19 16:00:00,4.37,46
2019-02-10 05:00:00,2.28,60
2019-02-20 01:00:00,2.25,27
2019-02-13 15:00:00,4.29,54
2019-02-25 06:00:00,1.73,60
2019-02-27 04:00:00,1.89,59
2019-03-08 02:00:00,2.18,32
2019-02-12 22:00:00,1.91,45
2019-02-22 20:00:00,1.81,60
2019-02-18 03:00:00,2.21,47
2019-02-12 10:00:00,2.45,57
2019-02-13 06:00:00,2.27,46
2019-02-24 04:00:00,1.69,60
2019-03-03 14:00:00,2.37,57
2019-02-17 14:00:00,2.41,57
2019-03-01 21:00:00,1.74,28
2019-02-18 23:00:00,2.23,19
2019-02-23 13:00:00,2.26,29
2019-03-06 12:00:00,2.3,69
2019-03-04 08:00:00,1.76,56
2019-03-04 09:00:00,1.81,60
2019-03-02 17:00:00,2.57,18
2019-02-11 08:00:00,2.44,59
2019-02-20 10:00:00,2.25,45
2019-02-28 03:00:00,1.65,60
2019-02-11 01:00:00,2.31,60
2019-02-27 02:00:00,2.01,59
2019-02-26 01:00:00,1.69,54
2019-03-02 13:00:00,2.47,32
2019-02-25 20:00:00,1.76,60
2019-02-11 10:00:00,2.47,60
2019-02-20 07:00:00,2.33,42
2019-02-22 01:00:00,1.65,31
2019-02-20 09:00:00,2.35,47
2019-02-28 23:00:00,1.68,22
2019-02-13 07:00:00,2.5,48
2019-03-06 17:00:00,5.9,23
2019-02-17 23:00:00,2.22,25
2019-03-05 02:00:00,1.64,60
2019-02-13 03:00:00,2.26,58
2019-02-16 18:00:00,2.52,54
2019-03-03 15:00:00,2.49,46
2019-02-21 09:00:00,1.8,28
2019-02-14 13:00:00,3.26,60
2019-02-28 05:00:00,1.62,60
2019-02-20 22:00:00,1.66,27
2019-03-06 14:00:00,2.62,30
2019-03-04 21:00:00,1.69,29
2019-03-04 14:00:00,2.38,35
2019-03-02 14:00:00,2.45,30
2019-02-13 23:00:00,2.24,40
2019-02-26 18:00:00,2.64,59
2019-02-27 11:00:00,1.86,61
2019-02-10 23:00:00,2.35,43
2019-02-11 21:00:00,2.38,59
2019-02-11 15:00:00,4.28,59
2019-02-11 13:00:00,2.98,60
2019-02-20 19:00:00,2.04,23
2019-02-10 06:00:00,2.24,62
2019-02-18 00:00:00,2.22,47
2019-02-20 21:00:00,1.69,23
2019-02-12 12:00:00,2.94,31
2019-03-02 23:00:00,1.68,30
2019-02-10 14:00:00,2.27,60
2019-02-18 19:00:00,2.4,46
2019-03-05 18:00:00,2.46,32
2019-03-07 09:00:00,2.44,30
2019-02-28 01:00:00,1.68,60
2019-02-15 14:00:00,6.99,54
2019-02-22 16:00:00,4.06,45
2019-02-18 10:00:00,2.35,58
2019-02-28 00:00:00,1.65,60
2019-02-20 20:00:00,1.72,25
2019-02-21 13:00:00,2.19,30
2019-02-15 08:00:00,2.38,60
2019-03-05 15:00:00,2.81,55
2019-03-06 11:00:00,2.24,59
2019-02-26 08:00:00,1.78,30
2019-02-17 10:00:00,2.28,53
2019-02-17 04:00:00,2.23,50
2019-02-19 06:00:00,2.25,56
2019-02-28 11:00:00,1.86,60
2019-02-27 22:00:00,1.66,60
2019-02-11 04:00:00,2.23,60
2019-02-19 18:00:00,3.53,54
2019-02-21 18:00:00,2.52,21
2019-02-12 18:00:00,3.44,29
2019-02-16 14:00:00,3.18,56
2019-03-09 00:00:00,2.27,22
2019-03-04 15:00:00,3.45,34
2019-02-19 10:00:00,2.36,54
2019-03-05 20:00:00,1.81,30
2019-03-01 05:00:00,1.63,60
2019-02-26 05:00:00,1.65,30
2019-03-06 06:00:00,1.66,60
2019-02-14 10:00:00,2.89,54
2019-03-01 15:00:00,3.46,55
2019-03-08 11:00:00,2.86,2
2019-03-04 10:00:00,1.84,60
2019-02-13 01:00:00,1.86,60
2019-02-13 00:00:00,1.87,57
2019-02-20 08:00:00,2.31,44
2019-03-09 09:00:00,2.24,12
2019-03-02 05:00:00,1.62,60
2019-02-20 04:00:00,2.22,25
2019-02-24 02:00:00,1.71,60
2019-03-09 04:00:00,2.22,28
2019-02-21 14:00:00,2.6,29
2019-02-18 02:00:00,2.23,56
2019-02-18 21:00:00,2.3,27
2019-03-01 20:00:00,1.73,31
2019-03-07 01:00:00,2.23,31
2019-02-10 12:00:00,2.28,58
2019-03-08 08:00:00,2.37,17
2019-02-22 04:00:00,1.64,30
2019-02-13 02:00:00,2.11,58
2019-02-17 18:00:00,2.41,25
2019-02-10 09:00:00,2.22,60
2019-02-24 12:00:00,1.73,60
2019-02-26 07:00:00,1.74,30
2019-02-13 12:00:00,2.4,46
2019-02-21 07:00:00,2.06,29
2019-02-22 08:00:00,1.73,30
2019-03-06 00:00:00,1.66,44
2019-03-09 08:00:00,2.22,27
2019-02-28 15:00:00,5.28,33
2019-02-15 17:00:00,4.71,47
2019-02-23 09:00:00,1.67,60
2019-02-26 02:00:00,1.7,52
2019-03-07 14:00:00,2.58,16
2019-02-18 06:00:00,2.27,52
2019-02-25 15:00:00,2.43,60
2019-02-19 13:00:00,2.6,48
2019-03-03 08:00:00,1.64,60
2019-02-16 10:00:00,2.44,50
2019-02-15 01:00:00,2.27,55
2019-02-16 05:00:00,2.19,25
2019-02-12 17:00:00,4.89,25
2019-03-02 20:00:00,1.74,30
2019-02-17 00:00:00,2.24,3
2019-02-16 19:00:00,2.4,56
2019-03-05 11:00:00,1.86,27
2019-03-08 19:00:00,2.88,1
2019-02-26 13:00:00,2.05,37
2019-03-05 00:00:00,1.65,46
2019-02-17 07:00:00,2.14,50
2019-02-24 10:00:00,1.7,60
2019-03-05 23:00:00,1.64,30
2019-02-12 03:00:00,2.2,61
2019-02-27 14:00:00,1.89,60
2019-03-03 19:00:00,1.77,20
2019-02-17 01:00:00,2.25,46
2019-02-16 22:00:00,2.31,50
2019-03-06 21:00:00,2.3,28
2019-02-28 16:00:00,3.82,40
2019-02-19 21:00:00,2.36,46
2019-03-03 10:00:00,1.72,60
2019-03-03 00:00:00,1.67,3
2019-03-08 03:00:00,2.13,29
2019-03-06 16:00:00,5.69,30
2019-02-28 07:00:00,2.18,60
2019-02-16 20:00:00,2.38,52
2019-02-27 13:00:00,1.78,61
2019-02-19 07:00:00,2.32,54
2019-02-12 21:00:00,2.1,51
2019-02-14 08:00:00,2.38,46
2019-03-08 10:00:00,2.6,11
2019-03-05 04:00:00,1.62,60
2019-03-03 01:00:00,1.66,60
2019-03-06 08:00:00,1.72,57
2019-03-06 20:00:00,2.34,26
2019-02-12 13:00:00,2.96,30
2019-02-13 05:00:00,2.18,52
2019-02-15 13:00:00,2.92,50
2019-02-10 17:00:00,2.33,60
2019-02-24 06:00:00,1.69,60
2019-02-28 21:00:00,1.74,28
2019-02-20 15:00:00,4.51,25
2019-02-17 15:00:00,2.45,47
2019-02-25 19:00:00,1.82,60
2019-02-20 06:00:00,2.26,39
2019-03-02 16:00:00,2.62,19
2019-02-26 09:00:00,1.81,31
2019-02-26 19:00:00,1.81,59
2019-02-20 05:00:00,2.18,29
2019-02-22 07:00:00,1.79,30
2019-02-25 13:00:00,1.75,60
2019-02-21 23:00:00,1.33,22
2019-02-14 07:00:00,2.41,55
2019-03-06 01:00:00,1.65,58
2019-03-02 10:00:00,1.78,58
2019-02-27 17:00:00,2.14,60
2019-02-21 00:00:00,1.64,26
2019-02-19 17:00:00,4.9,35
2019-03-06 04:00:00,1.61,60
2019-02-24 22:00:00,1.65,35
2019-02-13 17:00:00,3.52,45
2019-02-16 15:00:00,3.22,54
2019-02-11 05:00:00,2.21,59
2019-02-26 06:00:00,1.7,30
2019-02-19 19:00:00,2.67,54
2019-03-05 05:00:00,1.6,60
2019-02-16 01:00:00,2.26,24
2019-03-04 07:00:00,1.72,60
2019-02-19 09:00:00,2.33,58
2019-02-10 07:00:00,2.21,58
2019-02-22 05:00:00,1.59,30
2019-02-10 22:00:00,2.39,44
2019-03-04 20:00:00,1.71,22
2019-02-14 19:00:00,2.93,58
2019-03-03 06:00:00,1.61,60
2019-02-18 16:00:00,3.3,53
2019-02-13 10:00:00,2.4,54
2019-03-04 00:00:00,1.65,47
2019-02-15 21:00:00,3.34,48
2019-02-23 19:00:00,1.91,30
2019-02-26 17:00:00,3.21,60
2019-02-25 18:00:00,1.84,60
2019-03-06 02:00:00,1.65,60
2019-03-04 18:00:00,2.45,19
2019-02-16 17:00:00,2.65,56
2019-02-16 23:00:00,2.28,54
2019-02-13 14:00:00,2.84,52
2019-02-25 22:00:00,1.68,60
2019-02-18 17:00:00,3.41,47
2019-02-21 11:00:00,2.3,30
2019-02-25 00:00:00,1.66,30
2019-02-24 09:00:00,1.68,60
2019-03-07 19:00:00,1.0,1
2019-02-22 12:00:00,2.17,30
2019-02-22 00:00:00,1.64,30
2019-02-23 22:00:00,1.72,30
2019-03-04 06:00:00,1.65,60
2019-02-23 00:00:00,1.66,60
2019-02-16 07:00:00,2.19,48
2019-02-23 16:00:00,2.45,30
2019-02-18 18:00:00,2.98,44
2019-02-15 07:00:00,2.36,53
2019-03-05 13:00:00,2.01,60
2019-02-12 23:00:00,1.89,50
2019-03-02 22:00:00,1.71,30
2019-02-21 03:00:00,1.58,26
2019-02-17 22:00:00,2.22,15
2019-02-27 15:00:00,2.09,59
2019-02-22 06:00:00,1.66,30
2019-03-07 15:00:00,2.71,9
2019-02-10 04:00:00,2.29,59
2019-03-08 01:00:00,2.24,30
2019-02-24 07:00:00,1.64,60
2019-02-25 10:00:00,1.88,60
2019-03-01 10:00:00,1.94,60
2019-02-12 20:00:00,2.4,53
2019-02-18 07:00:00,2.3,44
2019-02-17 16:00:00,2.41,43
2019-02-23 10:00:00,1.7,60
2019-02-17 02:00:00,2.25,56
2019-03-01 12:00:00,2.36,60
2019-03-07 12:00:00,2.12,30
2019-02-14 02:00:00,2.27,52
2019-02-23 02:00:00,1.64,60
2019-02-18 09:00:00,2.31,54
2019-02-17 06:00:00,2.18,54
2019-02-18 15:00:00,3.3,54
2019-03-01 09:00:00,1.97,58
2019-02-23 05:00:00,1.61,60
2019-02-24 05:00:00,1.67,60
2019-02-11 09:00:00,2.45,56
2019-02-21 19:00:00,2.36,18
2019-02-25 04:00:00,1.58,51
2019-02-25 23:00:00,1.68,60
2019-02-18 08:00:00,2.28,48
2019-03-09 02:00:00,2.23,30
2019-02-26 21:00:00,1.73,49
2019-02-14 04:00:00,2.23,52
2019-02-25 14:00:00,1.85,60
2019-02-15 12:00:00,2.83,51
2019-03-09 01:00:00,2.25,30
2019-02-17 05:00:00,2.18,48
2019-03-01 00:00:00,1.67,51
2019-02-19 01:00:00,2.24,58
2019-02-20 12:00:00,1.83,29
2019-03-02 15:00:00,2.46,26
2019-02-10 10:00:00,2.24,60
2019-02-20 17:00:00,4.3,26
2019-02-22 19:00:00,2.28,60
2019-03-03 17:00:00,2.0,31
2019-02-17 19:00:00,2.32,30
2019-03-09 07:00:00,2.18,27
2019-02-22 03:00:00,1.64,30
2019-02-12 05:00:00,2.21,61
2019-02-21 01:00:00,1.47,25
2019-03-01 19:00:00,1.99,31
2019-03-03 20:00:00,1.74,26
2019-03-04 01:00:00,1.66,60
2019-02-15 10:00:00,3.12,57
2019-02-27 01:00:00,2.13,60
2019-03-01 18:00:00,2.53,36
2019-02-10 00:00:00,2.36,58
