stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
5208,55,36.15,Salmon CR SB,,,205es03616:_MS,-122.640267,45.71191,"{""bounds"": ""[)"", ""lower"": ""2017-04-06"", ""upper"": null}"
3154,10,0.25,Wilshire (2DS043) @ SB OR 217 MP0.25,0.185,,321,-122.78043,45.50622,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
10522,610,304.4,Alberta HOV (2R003) to NB I-5,0.62,,388,-122.67814,45.56172,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10285,608,6.7,102nd off-ramp (2DS020) @ EB I-84 MP6.7,31.745,,285,-122.55889,45.54448,"{""bounds"": ""[)"", ""lower"": ""2015-11-12"", ""upper"": null}"
10358,608,5.82,Halsey off-ramp (2DS019) @ EB I-84 MP5.82,0.94,,358,-122.5659,45.53213,"{""bounds"": ""[)"", ""lower"": ""2015-11-12"", ""upper"": null}"
1010,1,295.18,Capitol (2R306) to NB I-5,1.26,,157,-122.72042,45.45293,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1004,1,289.63,WB Nyberg Slip (2R312) to NB I-5,0.57,,383,-122.7511,45.38279,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1011,1,296.26,Spring Garden (2R305) to NB I-5,0.71,,158,-122.69942,45.46213,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1008,1,293.18,Haines (2R308) to NB I-5,0.78,,155,-122.7431,45.43495,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1007,1,292.18,OR 217/Kruse Way (2R317) to NB I-5,0.785,,83,-122.74224,45.42213,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1009,1,293.74,99W (2R307) to NB I-5,1.0,,156,-122.74179,45.4429,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1039,2,290.4,Lower Boones (2R321) to SB I-5,0.935,,86,-122.74824,45.39565,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1075,10,4.35,Scholls Ferry (2R332) to SB OR 217,0.805,,18,-122.7847,45.45004,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1078,10,2.55,Allen (2R341) to SB OR 217,0.6,,15,-122.78918,45.47556,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1122,12,73.71,Clay (2R383) to WB US 26,0.69,,144,-122.68813,45.5154,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1096,2,299.5,Naito/Harbor (2R391) to SB I-5,0.775,,67,-122.67535,45.50592,"{""bounds"": ""[)"", ""lower"": ""2014-04-15"", ""upper"": null}"
1065,9,2.16,Allen (2R340) to NB OR 217,0.59,,8,-122.78911,45.47688,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1080,10,0.76,Walker (2R346) to SB OR 217,0.525,,13,-122.79154,45.49757,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1064,9,1.34,Canyon (2R344) to NB OR 217,0.42,,9,-122.79146,45.49159,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1121,6,1.37,Montgomery (2R384) to SB I-405,0.31,,62,-122.69015,45.51335,"{""bounds"": ""[)"", ""lower"": ""2014-06-05"", ""upper"": null}"
3109,5,1.77,Jefferson (2DS008) @ NB I-405 MP1.77,0.485,,98,-122.68787,45.51688,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
3210,611,0.0,WB US 26 (2DS045) to SB OR 217 MP69.1,0.1,,118,-122.7797,45.50915,"{""bounds"": ""[)"", ""lower"": ""2014-06-12"", ""upper"": null}"
3211,611,0.0,EB US 26 (2DS046) to SB OR 217 MP69.16,0.1,,119,-122.77991,45.50865,"{""bounds"": ""[)"", ""lower"": ""2014-06-12"", ""upper"": null}"
3165,1,285.58,N. Wilsonville (2DS051) @ NB I-5 MP285.28,1.085,,99,-122.76906,45.32328,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
1130,1,283.93,Wilsonville Rd (2R396) to NB I-5,1.325,,113,-122.76951,45.30413,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
1001,1,286.1,EB Elligsen Loop (2R315) to NB I-5,0.36,,103,-122.76774,45.33496,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
3191,1,287.46,Norwood (2DS052) @ NB I-5 MP287.46,1.55,,100,-122.76467,45.35355,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
1040,2,289.38,Nyberg (2R320) to SB I-5,1.47,,85,-122.75325,45.38242,"{""bounds"": ""[)"", ""lower"": ""2014-07-14"", ""upper"": null}"
3182,2,283.93,Wilsonville Rd (2R399) to SB I-5,1.175,,84,-122.76967,45.29981,"{""bounds"": ""[)"", ""lower"": ""2014-09-15"", ""upper"": null}"
1139,609,71.08,WB US 26 Frontage (2R367) at Skyline,1.385,,150,-122.73729,45.50892,"{""bounds"": ""[)"", ""lower"": ""2014-09-17"", ""upper"": null}"
1108,2,296.26,Spring Garden (2R305) on SB I-5,1.06,,176,-122.70014,45.46303,"{""bounds"": ""[)"", ""lower"": ""2014-09-19"", ""upper"": null}"
3193,1,298.9,Corbett (2DS056) @ NB I-5 MP298.9,1.05,,49,-122.67668,45.48839,"{""bounds"": ""[)"", ""lower"": ""2014-09-23"", ""upper"": null}"
1105,2,293.36,99W (2R324) to SB I-5,0.475,,174,-122.74223,45.4418,"{""bounds"": ""[)"", ""lower"": ""2014-10-22"", ""upper"": null}"
3115,2,294.05,OR 99W (2DS053) @ SB I-5 MP294.05,0.91,,270,-122.74062,45.44359,"{""bounds"": ""[)"", ""lower"": ""2014-10-22"", ""upper"": null}"
3161,11,72.17,Zoo on-ramp (2DS065) @ EB US26 MP72.17,0.41,,129,-122.71918,45.507,"{""bounds"": ""[)"", ""lower"": ""2014-10-01"", ""upper"": null}"
1091,11,71.39,Skyline (2R368) to EB US 26,0.635,,141,-122.73599,45.50817,"{""bounds"": ""[)"", ""lower"": ""2014-08-07"", ""upper"": null}"
1134,6,0.97,5th (2R394) to SB I-405,0.555,,60,-122.68338,45.50683,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
3126,8,0.45,W. Grand (2DS013) @ WB I-84 MP0.45,0.83,,294,-122.66042,45.52549,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
1056,7,1.33,16th ( 2R076) to EB I-84,0.305,,204,-122.64958,45.52816,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
1059,8,4.9,82nd/Halsey (2R080) to WB I-84,0.39,,210,-122.58081,45.53369,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
3129,7,1.82,28th (2DS015) @ EB I-84 MP1.82,0.635,,279,-122.63511,45.53036,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
1125,4,14.58,Sunnyside (2R028) to SB I-205,0.96,,242,-122.56649,45.43175,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
1046,3,16.2,Johnson Cr (2R049) to NB I-205,1.505,,224,-122.5716,45.45669,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
1045,3,15.09,Sunnyside (2R054) to NB I-205,0.82,,223,-122.5665,45.43392,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
1098,4,16.24,Johnson Creek (2R034) to SB I-205,1.46,,243,-122.57371,45.45602,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
1053,4,18.92,Powell (2R032) to SB I-205,0.875,,245,-122.56578,45.49591,"{""bounds"": ""[)"", ""lower"": ""2014-12-01"", ""upper"": null}"
10347,612,0.0,D Far Side,0.5,,347,-122.5636,45.5385,"{""bounds"": ""[)"", ""lower"": ""2015-09-16"", ""upper"": null}"
3136,8,5.82,Halsey (2DS019) @ WB I-84 MP5.82,0.835,,301,-122.5659,45.53213,"{""bounds"": ""[)"", ""lower"": ""2014-12-02"", ""upper"": null}"
3135,7,5.82,Halsey (2DS019) @ EB I-84 MP5.82,0.835,,283,-122.5659,45.53213,"{""bounds"": ""[)"", ""lower"": ""2014-12-02"", ""upper"": null}"
10359,610,292.06,NB I-5 (2DS082) to NB OR 217,150.135,,359,-122.74375,45.4201,"{""bounds"": ""[)"", ""lower"": ""2015-12-02"", ""upper"": null}"
3133,7,5.03,82nd (2DS018) @ EB I-84 MP5.03,0.785,,282,-122.57891,45.53289,"{""bounds"": ""[)"", ""lower"": ""2014-12-02"", ""upper"": null}"
3134,8,5.03,82nd (2DS018) @ WB I-84 MP5.03,0.46,,300,-122.57891,45.53289,"{""bounds"": ""[)"", ""lower"": ""2014-12-02"", ""upper"": null}"
10317,1,291.47,Carman (2DS072) @ NB I-5 MP291.48,0.535,,317,-122.7436,45.41019,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
10318,2,291.48,Carman (2DS072) @ SB I-5 MP291.48,0.925,,318,-122.7436,45.41019,"{""bounds"": ""[)"", ""lower"": ""2015-02-24"", ""upper"": null}"
3152,8,15.94,238th (2DS027) @ WB I-84 MP15.94,0.865,,309,-122.41853,45.53952,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1110,3,9.03,NB OR 43 (2DS095) to NB I-205,0.325,,357,-122.6081,45.36311,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
3001,4,10.2,Park Place (2DS078) @ SB I-205 MP10.2,0.475,,272,-122.58771,45.37516,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
3002,3,10.2,Park Place (2DS078) @ NB I-205 MP10.2,0.41,,271,-122.58771,45.37516,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
1102,4,10.24,OR 213/Park Place (2R036) to SB I-205,0.425,,236,-122.58894,45.37451,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
1144,3,10.27,OR 213/Park Place (2R035) to I-205 NB,0.425,,218,-122.58699,45.37489,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
1101,4,11.05,82nd Dr/Gladstone (2R039) to SB I-205,1.215,,237,-122.58022,45.38418,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
1042,3,11.05,82nd Dr/Gladstone (2R044) to NB I-205,1.335,,219,-122.57787,45.38474,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
3178,11,61.05,Helvetia (2DS057) @ EB US26 MP61.05,1.225,,259,-122.9264,45.56464,"{""bounds"": ""[)"", ""lower"": ""2015-06-19"", ""upper"": null}"
1133,5,2.46,Glisan (2R395) to NB I-405,0.95,,66,-122.68651,45.52676,"{""bounds"": ""[)"", ""lower"": ""2015-06-15"", ""upper"": null}"
1086,11,67.4,Murray (2R365) to EB US 26,1.325,,196,-122.81417,45.52116,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
1081,11,61.25,Helvetia (2R374) to EB US 26,0.71,,190,-122.92497,45.56297,"{""bounds"": ""[)"", ""lower"": ""2015-06-03"", ""upper"": null}"
1087,11,68.55,Cedar Hills (2R369) to EB US 26,0.91,,197,-122.79047,45.5124,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
1028,2,305.97,Columbia (2R011) to SB I-5,0.35,,185,-122.68043,45.58637,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1018,1,302.5,Broadway (2R001) to NB I-5,0.6,,165,-122.66727,45.53625,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1147,2,306.6,Victory (2R021) to SB I-5,0.69,,186,-122.68354,45.59298,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
3174,2,305.9,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,0.185,,324,-122.68015,45.58586,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
3123,1,305.6,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,0.39,,256,-122.67886,45.57877,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1020,1,304.4,Alberta (2R003) to NB I-5,0.62,,167,-122.67814,45.56172,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1029,2,305.51,WB Lombard (2R013) to SB I-5,0.1,,184,-122.67901,45.57815,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
3125,7,0.45,W. Grand (2DS013) @ EB I-84 MP0.45,0.21,,277,-122.66042,45.52549,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
3172,2,303.47,SB I-5 (2DS011) @ I-405 MP303.47,0.4,,255,-122.67889,45.54731,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1032,2,304.08,Alberta (2R015) to SB I-5,0.475,,181,-122.67898,45.55758,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1023,1,306.51,Victory (2R006) to NB I-5,0.78,,170,-122.68373,45.59644,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
1027,2,307.35,Marine Dr/99E (2R010) to SB I-5,0.65,,187,-122.68352,45.60327,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
3121,2,302.51,Broadway (2DS010) @ SB I-5 MP302.51,0.465,,72,-122.66727,45.53625,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1030,2,305.4,EB Lombard (2R012) to SB I-5,0.33,,183,-122.67924,45.5769,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
10356,1,300.99,WB Morrison (2R017) to NB I-5,0.26,,356,-122.66582,45.51903,"{""bounds"": ""[)"", ""lower"": ""2015-10-21"", ""upper"": null}"
1089,11,69.22,Parkway (2R370) to EB US 26,0.38,,138,-122.77659,45.5069,"{""bounds"": ""[)"", ""lower"": ""2015-06-02"", ""upper"": null}"
3186,611,300.26,Marquam Bridge Catwalk (2DS058) @ SB I-5 MP300.26,4.06,,125,-122.67126,45.50672,"{""bounds"": ""[)"", ""lower"": ""2015-10-09"", ""upper"": null}"
1024,1,307.46,Marine Dr/99E (2R007) to NB I-5,0.695,,171,-122.68102,45.6041,"{""bounds"": ""[)"", ""lower"": ""2015-06-18"", ""upper"": null}"
10521,9,6.33,S. OR99W (2DS033) @ NB OR 217 MP6.33,0.355,,360,-122.75655,45.43011,"{""bounds"": ""[)"", ""lower"": ""2016-03-04"", ""upper"": null}"
3124,1,305.9,N. Columbia off-ramp (2DS080) @ NB I-5 MP305.9,0.455,,325,-122.68015,45.58586,"{""bounds"": ""[)"", ""lower"": ""2015-06-16"", ""upper"": null}"
10212,8,14.43,207th (2R085) to WB I-84,0.385,,212,-122.44592,45.53934,"{""bounds"": ""[)"", ""lower"": ""2016-05-31"", ""upper"": null}"
10380,10,5.43,S. Greenburg (2DS041) @ SB OR 217 MP5.43,0.42,,380,-122.76944,45.43969,"{""bounds"": ""[)"", ""lower"": ""2017-07-13"", ""upper"": null}"
10381,9,5.43,S. Greenburg (2DS041) @ NB OR 217 MP5.43,0.6,,381,-122.76944,45.43969,"{""bounds"": ""[)"", ""lower"": ""2017-07-13"", ""upper"": null}"
3150,8,15.17,223rd (2DS026) @ WB I-84 MP15.17,0.755,,308,-122.43399,45.54189,"{""bounds"": ""[)"", ""lower"": ""2016-05-31"", ""upper"": null}"
1074,10,5.11,Greenburg (2R333) to SB OR 217,0.54,,19,-122.77623,45.44268,"{""bounds"": ""[)"", ""lower"": ""2017-07-13"", ""upper"": null}"
10523,610,305.12,Rosa Parks HOV (2R004) to NB I-5,1.055,,389,-122.67798,45.57119,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10520,610,300.47,Marquam Bridge (2DS079) @ NB I-5 MP300.47,5.91,,314,-122.66726,45.5092,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10524,610,303.88,Going HOV (2R002) to NB I-5,1.965,,387,-122.67791,45.5546,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10525,610,306.51,Victory HOV (2R006) to NB I-5,1.4,,390,-122.68373,45.59644,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10526,622,24.41,Newberg Home Acres OR99W NB MP 24.41,1.0,,402,-122.98924,45.29606,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10527,621,56.18,Dundee Fulquartz OR18 WB MP 56.18,0.785,,392,-123.00905,45.27068,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10528,621,56.75,Dundee 8th OR18 WB MP 56.75,0.885,,395,-122.99959,45.27515,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10529,623,24.41,Newberg Home Acres OR99W SB MP 24.41,1.0,,401,-122.98924,45.29606,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10530,620,57.95,Newberg Waterfront OR18 EB MP 57.95,1.145,,398,-122.97925,45.28478,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10531,620,59.04,Newberg Wynooski OR18 EB MP 59.04,1.045,,400,-122.96061,45.29088,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10532,621,59.04,Newberg Wynooski OR18 WB MP 59.04,1.045,,399,-122.96061,45.29088,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10533,621,57.95,Newberg Waterfront OR18 WB MP 57.95,1.145,,397,-122.97925,45.28478,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10534,620,56.75,Dundee 8th OR18 EB MP 56.75,0.885,,396,-122.99959,45.27515,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
10535,620,56.18,Dundee Fulquartz OR18 EB MP 56.18,0.785,,394,-123.00905,45.27068,"{""bounds"": ""[)"", ""lower"": ""2017-12-19"", ""upper"": null}"
1126,4,14.32,Sunnybrook (2R029) to SB I-205,0.6,,241,-122.56689,45.42862,"{""bounds"": ""[)"", ""lower"": ""2015-03-09"", ""upper"": null}"
10538,606,83.51,Parkdale (2DS120) @ NB OR35 MP83.51,6.76,,406,-121.56578,45.51753,"{""bounds"": ""[)"", ""lower"": ""2018-03-12"", ""upper"": null}"
10539,607,83.51,Parkdale (2DS120) @ SB OR35 MP83.51,6.76,,405,-121.56578,45.51753,"{""bounds"": ""[)"", ""lower"": ""2018-03-12"", ""upper"": null}"
10542,606,55.99,Trillium Lake (2DS117) @ SB US26 MP55.99,1.695,,409,-121.72479,45.28413,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10543,607,55.99,Trillium Lake (2DS117) @ NB US26 MP55.99,1.695,,410,-121.72479,45.28413,"{""bounds"": ""[)"", ""lower"": ""2018-05-09"", ""upper"": null}"
10546,12,73.71,Vista Ridge (2DS108) @ WB US26 MP73.71,0.69,,413,-122.69324,45.5156,"{""bounds"": ""[)"", ""lower"": ""2018-05-30"", ""upper"": null}"
1112,12,73.33,Jefferson (2R382) to WB US 26,0.27,,143,-122.6992,45.51682,"{""bounds"": ""[)"", ""lower"": ""2018-05-30"", ""upper"": null}"
10585,3,19.92,Division Ramp (2DS152) @ NB I-205 MP19.92,0.68,,458,-122.56514,45.50863,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
10587,3,20.9,Burnside (2DS145) @ NB I-205 MP20.9,0.76,,457,-122.56545,45.5228,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
10588,3,19.54,Powell Ramp (2DS153) @ NB I-205 MP19.54,0.91,,461,-122.56494,45.50277,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
10550,11,72.65,E. Zoo Interchange (2DS107) @ EB US26 MP72.65,0.48,,418,-122.71008,45.50709,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
10551,3,2.8,Stafford Rd (2DS139) to NB I-205 MP2.8,0.795,,421,-122.71333,45.37174,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
10552,12,72.65,E. Zoo Interchange (2DS107) @ WB US26 MP72.65,0.5,,419,-122.71008,45.50709,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
10553,3,3.58,Stafford Rd (2DS138) to NB I-205 MP3.58,0.92,,420,-122.69776,45.36769,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
10554,11,69.77,SW 88th (2DS144) @ EB US26 MP69.77,0.425,,425,-122.76713,45.50583,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
10555,8,2.64,39th (2DS109) @ WB I-84 MP2.64,0.48,,424,-122.6213,45.5325,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
10556,7,2.64,39th (2DS109) @ EB I-84 MP2.64,0.38,,423,-122.6213,45.5325,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
10557,12,70.16,SW 79th (2DS106) @ WB US26 MP70.16,0.8,,428,-122.759,45.50548,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
10558,12,69.77,SW 88th (2DS144) @ WB US26 MP69.77,0.425,,426,-122.76713,45.50583,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
