stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
10429,55,30.36,39th SB,0.54,,205es03036:_MS,-122.56688,45.649508,"{""bounds"": ""[)"", ""lower"": ""2015-09-14"", ""upper"": null}"
10392,51,10.49,East of 192nd,0.965,,014es01049:_MW,-122.465566,45.583793,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10440,51,9.52,Quarry Rd.,0.985,,014es00952:_MW,-122.484928,45.587305,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10409,50,10.49,East of 192nd,0.965,,014es01049:_ME,-122.465619,45.583697,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10389,501,81.32,Mellen Couplet,0.455,,005es08132:_MN,-122.973849,46.706711,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10424,501,80.76,MELLEN CPLT OFF ,2.39,,005es08076:_MN,-122.971274,46.699169,"{""bounds"": ""[)"", ""lower"": ""2017-05-18"", ""upper"": null}"
10606,51,1.93,MP 1.93,0.425,,014es00193:_MW,-122.633766,45.61862,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
10600,502,8.24,154th,0.635,,005es00824:_MS,-122.65735,45.732697,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10607,50,1.93,MP 1.93,0.425,,014es00193:_ME,-122.633766,45.6185,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
10417,50,0.17,Apple Tree,0.375,,014es00017:_ME,-122.669082,45.622064,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10407,502,7.56,139th,0.47,,005es00756:_MS,-122.654959,45.722834,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10438,502,6.89,129th,0.495,,005es00689:_MS,-122.653155,45.713088,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10603,52,2.35,54th Ave,0.93,,500es00235:_ME,-122.617304,45.64786,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10604,52,3.32,Andresen RD,0.81,,500es00332:_ME,-122.597903,45.64956,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10605,53,3.32,Andresen RD,0.81,,500es00332:_MW,-122.598041,45.649653,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10602,53,2.35,54th Ave,0.93,,500es00235:_MW,-122.617304,45.647993,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
10601,501,8.24,154th,0.635,,005es00824:_MN,-122.65705,45.732697,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1516,501,7.3,I-5 NB at 134th,0.335,,005es00730:_MN,-122.654418,45.717047,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10403,501,7.56,139th,0.47,,005es00756:_MN,-122.65476,45.722825,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10400,51,0.17,Apple Tree,0.375,,014es00017:_MW,-122.669169,45.622003,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10402,50,5.0,97th AVE,0.635,,014es00500:_ME,-122.572954,45.608473,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10428,50,0.91,Col. Shores BLVD,0.485,,014es00091:_ME,-122.625719,45.618404,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10399,53,8.75,152nd AVE,2.835,,500es00875:_MW,-122.516603,45.682924,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
1515,502,7.3,I-5 SB at 134th,0.335,,005es00730:_MS,-122.654627,45.717013,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10430,501,9.76,179th ST NB,0.985,,005es00976:_MN,-122.663541,45.753931,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1647,501,8.83,I-5 NB at 159th,0.76,,005es00883:_MN,-122.659004,45.739135,"{""bounds"": ""[)"", ""lower"": ""2020-05-14"", ""upper"": null}"
1527,50,4.32,Lieser EB,0.62,,014es00432:_ME,-122.586247,45.611206,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
10426,501,6.89,129th,0.495,,005es00689:_MN,-122.65291,45.713107,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10435,50,3.76,73rd AVE,0.635,,014es00376:_ME,-122.597386,45.612859,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10433,51,3.76,73rd AVE,0.635,,014es00376:_MW,-122.597375,45.612951,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
10421,53,9.64,79th ST,0.945,,500es00964:_MW,-122.5058,45.680802,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
10447,52,8.75,152nd AVE,2.835,,500es00875:_ME,-122.516592,45.682832,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
10432,52,9.64,79th ST,0.945,,500es00964:_ME,-122.505942,45.680802,"{""bounds"": ""[)"", ""lower"": ""2017-11-21"", ""upper"": null}"
1529,50,5.59,Ellsworth EB,0.65,,014es00559:_ME,-122.561003,45.605912,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1636,51,13.14,Lady Island,1.13,,014es01314:_MW,-122.416401,45.575262,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1552,501,3.78,63rd,0.575,,005es00378:_MN,-122.665411,45.669626,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
10393,55,34.35,ST Johns SB,0.68,,205es03435:_MS,-122.611251,45.695655,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
10410,502,9.77,179th ST SB,0.99,,005es00977:_MS,-122.663888,45.75388,"{""bounds"": ""[)"", ""lower"": ""2014-07-28"", ""upper"": null}"
1517,502,8.83,I-5 SB at 159th,0.765,,005es00883:_MS,-122.659279,45.739095,"{""bounds"": ""[)"", ""lower"": ""2014-07-28"", ""upper"": null}"
10434,54,36.67,134th,1.025,,205es03667:_MN,-122.647418,45.716943,"{""bounds"": ""[)"", ""lower"": ""2014-10-31"", ""upper"": null}"
10437,55,36.67,134th,1.025,,205es03667:_MS,-122.647735,45.71678,"{""bounds"": ""[)"", ""lower"": ""2014-10-31"", ""upper"": null}"
1595,501,74.75,Labree Rd Chehalis,1.64,,005es07475:_MN,-122.933496,46.626946,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1596,502,74.75,Labree Rd Chehalis,1.64,,005es07475:_MS,-122.933697,46.62683,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1502,51,1.55,Grand WB,0.51,,014es00155:_MW,-122.642301,45.618626,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
10386,50,9.52,Quarry Rd.,0.985,,014es00952:_ME,-122.485001,45.587164,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10420,51,11.45,Camas C/L,0.95,,014es01145:_MW,-122.447321,45.578781,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10388,54,28.36,Mill Plain,0.525,,205es02836:_MN,-122.55901,45.621416,"{""bounds"": ""[)"", ""lower"": ""2016-08-17"", ""upper"": null}"
10413,54,29.36,18th ST NB,0.51,,205es02937:_MN,-122.560715,45.635803,"{""bounds"": ""[)"", ""lower"": ""2016-08-17"", ""upper"": null}"
10395,55,28.36,Mill Plain,0.525,,205es02836:_MS,-122.559473,45.621407,"{""bounds"": ""[)"", ""lower"": ""2016-08-17"", ""upper"": null}"
10441,55,28.85,9th ST,0.5,,205es02885:_MS,-122.559882,45.628441,"{""bounds"": ""[)"", ""lower"": ""2017-04-05"", ""upper"": null}"
10406,55,29.36,18th ST SB,0.51,,205es02937:_MS,-122.561148,45.635727,"{""bounds"": ""[)"", ""lower"": ""2017-04-05"", ""upper"": null}"
10423,55,29.87,Burton,0.5,,205es02987:_MS,-122.563943,45.642437,"{""bounds"": ""[)"", ""lower"": ""2017-04-05"", ""upper"": null}"
10405,502,85.57,L/T COUNTY LINE,1.36,,005es08557:_MS,-122.993161,46.765515,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
10411,502,82.27,CDNB Harrison,0.535,,005es08227:_MS,-122.976622,46.720357,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
10425,501,85.57,L/T COUNTY LINE,1.36,,005es08557:_MN,-122.992886,46.765581,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
10427,502,81.67,MELLEN ST,0.475,,005es08167:_MS,-122.975647,46.71207,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
10444,502,83.85,BLAKESLEE JCN,1.415,,005es08385:_MS,-122.97874,46.74269,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
1580,501,1.41,4th Plain,0.61,,005es00141:_MN,-122.662114,45.63634,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1528,51,5.59,Ellsworth WB,0.65,,014es00559:_MW,-122.56099,45.606023,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1626,502,12.49,Carty Rd.,0.855,,005es01249:_MS,-122.676182,45.793126,"{""bounds"": ""[)"", ""lower"": ""2012-11-08"", ""upper"": null}"
1593,501,73.26,mp 73.3 (access gate),30.275,,005es07326:_MN,-122.912376,46.610835,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
10442,501,13.46,Dolan RD,0.86,,005es01346:_MN,-122.681246,45.806195,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
10436,501,14.2,SR-501,29.9,,005es01420:_MN,-122.685972,45.816317,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
10394,502,13.46,Dolan RD,0.855,,005es01346:_MS,-122.681683,45.806121,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
1594,502,73.26,mp 73.3 (access gate),30.275,,005es07326:_MS,-122.912542,46.61069,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
10445,502,14.2,SR-501,29.9,,005es01420:_MS,-122.6864,45.816265,"{""bounds"": ""[)"", ""lower"": ""2013-10-14"", ""upper"": null}"
10439,54,34.34,ST Johns NB,0.68,,205es03434:_MN,-122.610898,45.695884,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1511,502,5.29,99th,0.685,,005es00529:_MS,-122.662359,45.691187,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1643,52,0.66,15th St EB,0.9,,500es00066:_ME,-122.650041,45.650498,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1547,55,32.23,70th SB,0.685,,205es03223:_MS,-122.583518,45.673648,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1631,50,6.3,I-205 E EB,1.065,,014es00630:_ME,-122.547092,45.602676,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
10443,50,11.45,Camas C/L,0.95,,014es01145:_ME,-122.447361,45.578681,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
10418,54,28.85,9th ST,0.5,,205es02885:_MN,-122.559233,45.62844,"{""bounds"": ""[)"", ""lower"": ""2016-08-17"", ""upper"": null}"
10387,502,82.74,Harrison Ave,0.79,,005es08274:_MS,-122.977116,46.727603,"{""bounds"": ""[)"", ""lower"": ""2017-04-08"", ""upper"": null}"
1603,50,7.72,Cascade Park Dr,1.11,,014es00772:_ME,-122.519766,45.596011,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1623,501,10.8,199th,0.635,,005es01080:_MN,-122.666906,45.764734,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1602,51,3.05,Shorewood WB,0.68,,014es00305:_MW,-122.61214,45.615296,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
1503,502,0.88,Evergreen Blvd,0.48,,005es00088:_MS,-122.666588,45.629091,"{""bounds"": ""[)"", ""lower"": ""2013-06-25"", ""upper"": null}"
1588,502,11.75,(SB) SR502,0.73,,005es01175:_MS,-122.673818,45.781513,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1561,55,32.9,Padden,0.61,,205es03290:_MS,-122.592301,45.682154,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1556,501,4.94,86th,0.52,,005es00494:_MN,-122.664245,45.686329,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1608,54,27.26,SR14,0.77,,205es02726:_MN,-122.551833,45.606731,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1609,55,27.26,SR14,0.77,,205es02726:_MS,-122.552132,45.606709,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1624,502,10.81,199th,0.63,,005es01081:_MS,-122.667227,45.764697,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1510,501,3.1,Main St,0.615,,005es00310:_MN,-122.665413,45.659595,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1627,501,2.1,35th St,0.57,,005es00210:_MN,-122.661642,45.646419,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1604,51,7.72,Cascade Park Dr,1.11,,014es00772:_MW,-122.519709,45.596105,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1637,50,14.65,Union,1.255,,014es01465:_ME,-122.385283,45.580171,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1507,502,2.55,Kiggins,0.5,,005es00255:_MS,-122.662796,45.652577,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1625,501,12.48,Carty Rd.,0.895,,005es01248:_MN,-122.675717,45.793184,"{""bounds"": ""[)"", ""lower"": ""2012-11-08"", ""upper"": null}"
1555,502,4.25,78th,0.58,,005es00425:_MS,-122.664671,45.676586,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1638,51,14.65,Union,1.255,,014es01465:_MW,-122.385304,45.580313,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1610,54,27.8,10th,0.55,,205es02780:_MN,-122.554088,45.614381,"{""bounds"": ""[)"", ""lower"": ""2015-03-27"", ""upper"": null}"
1554,501,4.25,78th,0.58,,005es00425:_MN,-122.664438,45.676581,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1605,50,8.52,164th EB,0.9,,014es00852:_ME,-122.504397,45.591815,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1600,51,2.4,Blandford WB,0.56,,014es00240:_MW,-122.624395,45.61837,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
1535,54,34.81,50th,0.64,,205es03481:_MN,-122.620127,45.699421,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
1583,502,0.45,SR-14,0.665,,005es00045:_MS,-122.670745,45.623839,"{""bounds"": ""[)"", ""lower"": ""2013-06-25"", ""upper"": null}"
1606,51,8.52,164th WB,0.9,,014es00852:_MW,-122.504347,45.591917,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1613,54,32.22,70th NB,0.685,,205es03222:_MN,-122.583144,45.673764,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1618,53,3.97,Thurston WB,2.715,,500es00397:_MW,-122.587124,45.654517,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
1628,502,2.1,35th St,0.57,,005es00210:_MS,-122.661875,45.64642,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1632,51,6.3,I-205 E WB,1.065,,014es00630:_MW,-122.547206,45.602824,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1646,53,1.46,Burnt Bridge WB,0.845,,500es00146:_MW,-122.635412,45.646219,"{""bounds"": ""[)"", ""lower"": ""2019-04-03"", ""upper"": null}"
1570,501,11.67,(NB) SR502,0.725,,005es01167:_MN,-122.671736,45.780925,"{""bounds"": ""[)"", ""lower"": ""2015-04-27"", ""upper"": null}"
1533,55,27.8,10th,0.55,,205es02780:_MS,-122.55444,45.614261,"{""bounds"": ""[)"", ""lower"": ""2015-03-27"", ""upper"": null}"
1514,501,6.31,Salmon Cr. NB,0.8,,005es00631:_MN,-122.654888,45.70507,"{""bounds"": ""[)"", ""lower"": ""2015-04-02"", ""upper"": null}"
1557,502,4.94,86th,0.52,,005es00494:_MS,-122.664433,45.686353,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1553,502,3.78,63rd,0.575,,005es00378:_MS,-122.665651,45.669662,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1512,501,5.29,99th,0.685,,005es00529:_MN,-122.662149,45.691174,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1504,501,0.88,Evergreen Blvd,0.48,,005es00088:_MN,-122.666339,45.629063,"{""bounds"": ""[)"", ""lower"": ""2013-06-25"", ""upper"": null}"
1508,501,2.55,Kiggins,0.5,,005es00255:_MN,-122.662607,45.652644,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1634,51,12.39,6th Ave,0.845,,014es01239:_MW,-122.428295,45.58065,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
1633,50,12.39,6th Ave,0.845,,014es01239:_ME,-122.428448,45.580571,"{""bounds"": ""[)"", ""lower"": ""2016-04-28"", ""upper"": null}"
1630,51,0.58,Pearson WB,0.37,,014es00058:_MW,-122.661711,45.61931,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1513,502,6.31,Salmon Cr. SB,0.8,,005es00631:_MS,-122.655078,45.705051,"{""bounds"": ""[)"", ""lower"": ""2015-04-02"", ""upper"": null}"
1509,502,3.1,Main St,0.615,,005es00310:_MS,-122.665641,45.659535,"{""bounds"": ""[)"", ""lower"": ""2012-03-13"", ""upper"": null}"
1581,502,1.41,4th Plain,0.61,,005es00141:_MS,-122.662374,45.636287,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1545,54,32.9,Padden,0.615,,205es03290:_MN,-122.59192,45.682404,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1640,55,31.53,NE 58th,0.64,,205es03153:_MS,-122.577815,45.664364,"{""bounds"": ""[)"", ""lower"": ""2015-01-22"", ""upper"": null}"
1582,501,0.45,SR-14,0.665,,005es00045:_MN,-122.670656,45.623675,"{""bounds"": ""[)"", ""lower"": ""2013-06-25"", ""upper"": null}"
1614,54,35.62,119th,0.93,,205es03562:_MN,-122.631748,45.707424,"{""bounds"": ""[)"", ""lower"": ""2014-10-31"", ""upper"": null}"
1635,50,13.14,Lady Island,1.13,,014es01314:_ME,-122.416389,45.575182,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1642,55,33.45,Andresen,0.725,,205es03345:_MS,-122.601628,45.687499,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1599,50,2.4,Blandford EB,0.56,,014es00240:_ME,-122.624427,45.618253,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
1644,53,0.66,15th St WB,0.9,,500es00066:_MW,-122.649986,45.650627,"{""bounds"": ""[)"", ""lower"": ""2013-04-27"", ""upper"": null}"
1629,50,0.58,Pearson EB,0.37,,014es00058:_ME,-122.661752,45.61918,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1501,50,1.55,Grand EB,0.51,,014es00155:_ME,-122.642281,45.618513,"{""bounds"": ""[)"", ""lower"": ""2019-08-22"", ""upper"": null}"
1645,52,1.46,Burnt Bridge EB,0.845,,500es00146:_ME,-122.635437,45.646095,"{""bounds"": ""[)"", ""lower"": ""2019-04-03"", ""upper"": null}"
1601,50,3.05,Shorewood EB,0.68,,014es00305:_ME,-122.612167,45.615193,"{""bounds"": ""[)"", ""lower"": ""2018-03-29"", ""upper"": null}"
1617,52,3.97,Thurston EB,2.715,,500es00397:_ME,-122.587026,45.654407,"{""bounds"": ""[)"", ""lower"": ""2019-06-26"", ""upper"": null}"
1526,51,4.32,Lieser WB,0.62,,014es00432:_MW,-122.586248,45.611337,"{""bounds"": ""[)"", ""lower"": ""2017-08-31"", ""upper"": null}"
1641,54,33.45,Andresen,0.72,,205es03345:_MN,-122.601211,45.687703,"{""bounds"": ""[)"", ""lower"": ""2014-05-16"", ""upper"": null}"
1639,54,31.53,NE 58th,0.64,,205es03153:_MN,-122.577402,45.664477,"{""bounds"": ""[)"", ""lower"": ""2015-01-22"", ""upper"": null}"
1536,55,34.81,50th,0.635,,205es03481:_MS,-122.620197,45.699144,"{""bounds"": ""[)"", ""lower"": ""2013-12-11"", ""upper"": null}"
1537,55,35.62,119th,0.93,,205es03562:_MS,-122.632189,45.707255,"{""bounds"": ""[)"", ""lower"": ""2014-10-31"", ""upper"": null}"
